"County","Year","Jail.Population","Boarded.Out","Boarded.In","in.House.Census","Sentenced","Civil","Federal","Technical.Parole.Violators","State.Readies","Other.Unsentenced"
"Albany",2019,416,0,51,467,85,0,62,44,13,264
"Albany",2018,587,0,42,628,124,0,136,39,14,315
"Albany",2017,576,1,42,618,137,0,45,50,18,368
"Albany",2016,571,1,46,616,134,0,48,36,21,377
"Albany",2015,578,1,86,664,122,0,32,34,22,454
"Albany",2014,621,0,212,832,129,0,38,32,24,610
"Albany",2013,629,0,145,774,125,0,44,41,27,537
"Albany",2012,622,0,68,689,136,0,33,42,24,455
"Albany",2011,614,0,9,622,129,0,60,37,25,372
"Albany",2010,698,0,23,721,148,0,102,35,20,417
"Allegany",2019,84,1,3,86,14,0,40,1,0,30
"Allegany",2018,107,2,4,108,14,0,59,4,0,32
"Allegany",2017,111,3,2,110,12,0,58,5,0,34
"Allegany",2016,122,2,0,121,13,0,64,2,0,41
"Allegany",2015,116,0,1,118,14,0,66,0,0,38
"Allegany",2014,124,0,3,128,17,1,70,0,0,40
"Allegany",2013,131,0,1,132,22,1,68,0,0,42
"Allegany",2012,135,0,2,136,25,1,66,0,0,44
"Allegany",2011,129,0,3,132,23,1,66,0,0,41
"Allegany",2010,138,0,3,141,22,1,66,0,0,52
"Broome",2019,441,3,37,475,110,1,13,13,5,334
"Broome",2018,457,0,24,481,107,0,19,7,6,341
"Broome",2017,500,1,15,514,110,0,11,0,10,383
"Broome",2016,517,14,2,505,97,0,3,8,13,383
"Broome",2015,492,4,4,491,107,0,14,11,12,348
"Broome",2014,481,5,11,486,107,0,10,9,12,348
"Broome",2013,517,14,2,505,101,0,8,10,11,374
"Broome",2012,501,10,1,493,117,0,14,12,10,340
"Broome",2011,459,3,8,464,91,0,25,13,10,326
"Broome",2010,446,0,9,455,100,0,25,14,8,306
"Cattaraugus",2019,135,4,0,131,47,0,19,9,1,54
"Cattaraugus",2018,133,2,0,131,39,0,23,7,1,61
"Cattaraugus",2017,131,1,1,131,41,0,26,7,1,56
"Cattaraugus",2016,134,0,0,134,46,0,22,5,2,60
"Cattaraugus",2015,128,1,0,127,45,0,22,4,2,54
"Cattaraugus",2014,129,1,2,130,53,0,15,3,2,56
"Cattaraugus",2013,120,0,0,120,44,0,19,6,1,50
"Cattaraugus",2012,118,0,0,118,39,0,10,6,2,62
"Cattaraugus",2011,127,0,0,127,45,0,14,4,2,62
"Cattaraugus",2010,110,0,0,110,36,0,16,5,2,51
"Cayuga",2019,145,1,12,156,29,4,39,8,2,73
"Cayuga",2018,156,0,10,166,41,3,38,10,1,73
"Cayuga",2017,156,0,14,170,48,3,27,11,2,80
"Cayuga",2016,164,0,12,176,38,2,41,11,2,82
"Cayuga",2015,163,0,7,170,42,3,33,12,2,78
"Cayuga",2014,183,0,0,183,37,2,42,7,3,92
"Cayuga",2013,191,0,0,191,55,6,30,7,3,90
"Cayuga",2012,190,0,0,190,51,2,35,7,3,92
"Cayuga",2011,192,0,0,192,57,2,48,7,2,76
"Cayuga",2010,184,0,0,184,51,3,51,5,3,71
"Chautauqua",2019,236,0,0,237,45,0,45,15,1,131
"Chautauqua",2018,260,0,0,260,36,0,31,14,2,176
"Chautauqua",2017,282,8,0,274,42,0,27,13,2,189
"Chautauqua",2016,275,1,0,274,48,0,25,9,2,190
"Chautauqua",2015,268,1,1,268,49,0,16,9,2,193
"Chautauqua",2014,283,6,0,278,60,0,21,8,2,186
"Chautauqua",2013,279,0,0,279,62,0,19,11,2,184
"Chautauqua",2012,287,0,0,287,58,0,46,10,2,171
"Chautauqua",2011,272,0,0,272,55,0,53,12,1,150
"Chautauqua",2010,281,0,0,281,56,0,59,11,2,153
"Chemung",2019,132,0,4,135,53,2,0,10,2,69
"Chemung",2018,155,1,7,161,65,2,0,13,2,80
"Chemung",2017,164,0,8,171,71,1,0,13,2,85
"Chemung",2016,150,0,15,165,72,1,0,11,2,81
"Chemung",2015,167,0,5,172,82,1,0,9,2,78
"Chemung",2014,160,0,9,169,74,1,0,8,2,83
"Chemung",2013,187,0,18,204,81,1,0,12,2,108
"Chemung",2012,189,2,9,196,82,0,0,11,2,101
"Chemung",2011,163,1,0,162,74,0,1,14,2,72
"Chemung",2010,181,0,0,181,80,0,0,15,2,84
"Chenango",2019,87,0,1,88,20,5,1,3,6,52
"Chenango",2018,93,0,0,93,28,3,1,4,7,51
"Chenango",2017,98,0,1,98,29,3,4,4,4,55
"Chenango",2016,99,0,2,101,27,6,5,3,5,56
"Chenango",2015,95,0,5,100,33,3,3,3,4,53
"Chenango",2014,99,0,4,103,32,5,8,2,4,52
"Chenango",2013,104,0,12,116,40,2,19,3,6,46
"Chenango",2012,84,0,9,92,32,2,11,2,2,43
"Chenango",2011,98,0,6,104,30,1,20,2,1,50
"Chenango",2010,90,0,10,99,38,1,8,1,1,51
"Clinton",2019,176,0,0,175,55,0,31,15,2,73
"Clinton",2018,217,0,2,219,60,0,40,14,2,102
"Clinton",2017,207,1,16,223,46,0,38,16,2,119
"Clinton",2016,208,0,2,210,59,0,39,20,3,89
"Clinton",2015,187,2,0,186,50,0,23,18,3,92
"Clinton",2014,216,0,3,219,62,0,28,12,4,114
"Clinton",2013,221,0,1,222,69,0,30,12,4,107
"Clinton",2012,209,0,1,210,72,0,31,13,3,91
"Clinton",2011,207,0,1,207,69,0,40,10,3,86
"Clinton",2010,204,0,6,209,73,1,45,7,2,81
"Columbia",2019,68,0,6,73,9,2,1,6,1,54
"Columbia",2018,70,0,16,86,11,2,0,8,1,63
"Columbia",2017,81,0,16,97,10,5,1,8,1,72
"Columbia",2016,83,0,22,104,11,4,1,10,1,77
"Columbia",2015,68,0,30,98,10,3,3,5,1,76
"Columbia",2014,72,0,21,93,11,4,2,6,2,68
"Columbia",2013,75,0,31,106,12,2,2,7,1,82
"Columbia",2012,90,1,14,103,11,2,3,6,1,80
"Columbia",2011,90,0,15,105,11,1,4,4,1,85
"Columbia",2010,97,0,10,107,22,1,10,2,1,71
"Cortland",2019,76,34,0,43,13,1,0,4,1,25
"Cortland",2018,92,11,0,81,18,1,0,7,1,54
"Cortland",2017,93,13,0,80,14,1,0,5,1,59
"Cortland",2016,91,11,0,80,10,1,0,5,1,63
"Cortland",2015,89,8,1,82,13,1,0,6,1,61
"Cortland",2014,76,6,0,70,12,1,0,5,1,51
"Cortland",2013,73,8,0,65,15,1,0,4,2,42
"Cortland",2012,68,7,0,62,10,1,0,4,1,45
"Cortland",2011,64,3,0,61,14,1,0,4,1,40
"Cortland",2010,69,5,0,64,19,2,0,4,1,38
"Delaware",2019,58,0,17,76,14,1,10,3,1,48
"Delaware",2018,68,0,12,79,17,2,7,4,1,48
"Delaware",2017,81,0,12,93,17,1,16,3,1,55
"Delaware",2016,80,0,8,87,22,1,3,3,1,57
"Delaware",2015,75,0,5,80,31,1,4,3,1,40
"Delaware",2014,83,0,2,86,32,1,5,3,1,43
"Delaware",2013,71,0,12,83,25,1,8,3,1,45
"Delaware",2012,64,0,4,68,23,1,4,2,1,36
"Delaware",2011,59,0,5,63,24,2,0,3,1,33
"Delaware",2010,66,0,5,71,28,2,1,5,1,33
"Dutchess",2019,313,7,0,307,70,1,0,18,3,214
"Dutchess",2018,379,8,0,371,80,1,0,18,4,268
"Dutchess",2017,423,11,0,412,93,2,0,19,5,292
"Dutchess",2016,401,11,0,390,81,3,0,24,4,278
"Dutchess",2015,434,88,0,346,71,3,0,17,4,251
"Dutchess",2014,469,223,0,247,43,3,0,8,5,187
"Dutchess",2013,444,194,0,250,43,4,0,11,5,186
"Dutchess",2012,446,200,0,246,51,6,0,13,4,171
"Dutchess",2011,411,158,0,253,54,6,0,12,4,177
"Dutchess",2010,380,115,2,266,50,5,1,13,3,195
"Erie",2019,434,0,0,434,143,0,0,50,0,240
"Erie",2018,543,0,0,543,183,0,0,62,0,298
"Erie",2017,644,0,0,644,229,0,0,69,0,346
"Erie",2016,690,0,0,690,236,0,0,57,0,397
"Erie",2015,700,0,0,700,273,0,1,38,0,388
"Erie",2014,696,0,0,696,276,2,3,40,1,375
"Erie",2013,746,0,0,746,290,3,3,51,0,399
"Erie",2012,747,0,0,747,274,2,4,47,0,420
"Erie",2011,749,0,0,749,284,0,0,46,0,420
"Erie",2010,775,0,0,775,407,0,0,31,0,337
"Erie",2019,418,0,0,418,66,1,0,38,6,307
"Erie",2018,415,1,0,414,65,1,0,38,6,304
"Erie",2017,426,1,0,426,67,1,0,33,5,319
"Erie",2016,493,0,0,493,82,1,8,41,5,356
"Erie",2015,501,0,0,501,79,1,23,32,4,362
"Erie",2014,472,0,0,472,70,1,32,26,4,338
