"FIPS.Code","County","Year","Program.Type","Population"
36000,"New",2019,"Postcensal Population Estimate",19453561
36001,"Albany",2019,"Postcensal Population Estimate",305506
36003,"Allegany",2019,"Postcensal Population Estimate",46091
36005,"Bronx",2019,"Postcensal Population Estimate",1418207
36007,"Broome",2019,"Postcensal Population Estimate",190488
36009,"Cattaraugus",2019,"Postcensal Population Estimate",76117
36011,"Cayuga",2019,"Postcensal Population Estimate",76576
36013,"Chautauqua",2019,"Postcensal Population Estimate",126903
36015,"Chemung",2019,"Postcensal Population Estimate",83456
36017,"Chenango",2019,"Postcensal Population Estimate",47207
36019,"Clinton",2019,"Postcensal Population Estimate",80485
36021,"Columbia",2019,"Postcensal Population Estimate",59461
36023,"Cortland",2019,"Postcensal Population Estimate",47581
36025,"Delaware",2019,"Postcensal Population Estimate",44135
36027,"Dutchess",2019,"Postcensal Population Estimate",294218
36029,"Erie",2019,"Postcensal Population Estimate",918702
36031,"Essex",2019,"Postcensal Population Estimate",36885
36033,"Franklin",2019,"Postcensal Population Estimate",50022
36035,"Fulton",2019,"Postcensal Population Estimate",53383
36037,"Genesee",2019,"Postcensal Population Estimate",57280
36039,"Greene",2019,"Postcensal Population Estimate",47188
36041,"Hamilton",2019,"Postcensal Population Estimate",4416
36043,"Herkimer",2019,"Postcensal Population Estimate",61319
36045,"Jefferson",2019,"Postcensal Population Estimate",109834
36047,"Kings",2019,"Postcensal Population Estimate",2559903
36049,"Lewis",2019,"Postcensal Population Estimate",26296
36051,"Livingston",2019,"Postcensal Population Estimate",62914
36053,"Madison",2019,"Postcensal Population Estimate",70941
36055,"Monroe",2019,"Postcensal Population Estimate",741770
36057,"Montgomery",2019,"Postcensal Population Estimate",49221
36059,"Nassau",2019,"Postcensal Population Estimate",1356924
36061,"New",2019,"Postcensal Population Estimate",1628706
36063,"Niagara",2019,"Postcensal Population Estimate",209281
36065,"Oneida",2019,"Postcensal Population Estimate",228671
36067,"Onondaga",2019,"Postcensal Population Estimate",460528
36069,"Ontario",2019,"Postcensal Population Estimate",109777
36071,"Orange",2019,"Postcensal Population Estimate",384940
36073,"Orleans",2019,"Postcensal Population Estimate",40352
36075,"Oswego",2019,"Postcensal Population Estimate",117124
36077,"Otsego",2019,"Postcensal Population Estimate",59493
36079,"Putnam",2019,"Postcensal Population Estimate",98320
36081,"Queens",2019,"Postcensal Population Estimate",2253858
36083,"Rensselaer",2019,"Postcensal Population Estimate",158714
36085,"Richmond",2019,"Postcensal Population Estimate",476143
36087,"Rockland",2019,"Postcensal Population Estimate",325789
36089,"St.",2019,"Postcensal Population Estimate",107740
36091,"Saratoga",2019,"Postcensal Population Estimate",229863
36093,"Schenectady",2019,"Postcensal Population Estimate",155299
36095,"Schoharie",2019,"Postcensal Population Estimate",30999
36097,"Schuyler",2019,"Postcensal Population Estimate",17807
36099,"Seneca",2019,"Postcensal Population Estimate",34016
36101,"Steuben",2019,"Postcensal Population Estimate",95379
36103,"Suffolk",2019,"Postcensal Population Estimate",1476601
36105,"Sullivan",2019,"Postcensal Population Estimate",75432
36107,"Tioga",2019,"Postcensal Population Estimate",48203
36109,"Tompkins",2019,"Postcensal Population Estimate",102180
36111,"Ulster",2019,"Postcensal Population Estimate",177573
36113,"Warren",2019,"Postcensal Population Estimate",63944
36115,"Washington",2019,"Postcensal Population Estimate",61204
36117,"Wayne",2019,"Postcensal Population Estimate",89918
36119,"Westchester",2019,"Postcensal Population Estimate",967506
36121,"Wyoming",2019,"Postcensal Population Estimate",39859
36123,"Yates",2019,"Postcensal Population Estimate",24913
36000,"New",2018,"Postcensal Population Estimate",19530351
36001,"Albany",2018,"Postcensal Population Estimate",306585
36003,"Allegany",2018,"Postcensal Population Estimate",46332
36005,"Bronx",2018,"Postcensal Population Estimate",1432087
36007,"Broome",2018,"Postcensal Population Estimate",191925
36009,"Cattaraugus",2018,"Postcensal Population Estimate",76726
36011,"Cayuga",2018,"Postcensal Population Estimate",77121
36013,"Chautauqua",2018,"Postcensal Population Estimate",127472
36015,"Chemung",2018,"Postcensal Population Estimate",83935
36017,"Chenango",2018,"Postcensal Population Estimate",47445
36019,"Clinton",2018,"Postcensal Population Estimate",80679
36021,"Columbia",2018,"Postcensal Population Estimate",59785
36023,"Cortland",2018,"Postcensal Population Estimate",47722
36025,"Delaware",2018,"Postcensal Population Estimate",44526
36027,"Dutchess",2018,"Postcensal Population Estimate",293939
36029,"Erie",2018,"Postcensal Population Estimate",919717
36031,"Essex",2018,"Postcensal Population Estimate",37288
36033,"Franklin",2018,"Postcensal Population Estimate",50279
36035,"Fulton",2018,"Postcensal Population Estimate",53633
36037,"Genesee",2018,"Postcensal Population Estimate",57487
36039,"Greene",2018,"Postcensal Population Estimate",47381
36041,"Hamilton",2018,"Postcensal Population Estimate",4432
36043,"Herkimer",2018,"Postcensal Population Estimate",61713
36045,"Jefferson",2018,"Postcensal Population Estimate",111866
36047,"Kings",2018,"Postcensal Population Estimate",2578074
36049,"Lewis",2018,"Postcensal Population Estimate",26486
36051,"Livingston",2018,"Postcensal Population Estimate",63213
36053,"Madison",2018,"Postcensal Population Estimate",71117
36055,"Monroe",2018,"Postcensal Population Estimate",742864
36057,"Montgomery",2018,"Postcensal Population Estimate",49394
36059,"Nassau",2018,"Postcensal Population Estimate",1357534
36061,"New",2018,"Postcensal Population Estimate",1629055
36063,"Niagara",2018,"Postcensal Population Estimate",210060
36065,"Oneida",2018,"Postcensal Population Estimate",229474
36067,"Onondaga",2018,"Postcensal Population Estimate",461649
36069,"Ontario",2018,"Postcensal Population Estimate",109738
36071,"Orange",2018,"Postcensal Population Estimate",382126
36073,"Orleans",2018,"Postcensal Population Estimate",40655
36075,"Oswego",2018,"Postcensal Population Estimate",117515
36077,"Otsego",2018,"Postcensal Population Estimate",59810
36079,"Putnam",2018,"Postcensal Population Estimate",98814
36081,"Queens",2018,"Postcensal Population Estimate",2274605
36083,"Rensselaer",2018,"Postcensal Population Estimate",159283
36085,"Richmond",2018,"Postcensal Population Estimate",476260
36087,"Rockland",2018,"Postcensal Population Estimate",325522
36089,"St.",2018,"Postcensal Population Estimate",108327
36091,"Saratoga",2018,"Postcensal Population Estimate",230170
36093,"Schenectady",2018,"Postcensal Population Estimate",155079
36095,"Schoharie",2018,"Postcensal Population Estimate",31146
36097,"Schuyler",2018,"Postcensal Population Estimate",17884
36099,"Seneca",2018,"Postcensal Population Estimate",34179
36101,"Steuben",2018,"Postcensal Population Estimate",95860
36103,"Suffolk",2018,"Postcensal Population Estimate",1480830
36105,"Sullivan",2018,"Postcensal Population Estimate",75399
36107,"Tioga",2018,"Postcensal Population Estimate",48441
36109,"Tompkins",2018,"Postcensal Population Estimate",102419
36111,"Ulster",2018,"Postcensal Population Estimate",178418
36113,"Warren",2018,"Postcensal Population Estimate",64215
36115,"Washington",2018,"Postcensal Population Estimate",61274
36117,"Wayne",2018,"Postcensal Population Estimate",90200
36119,"Westchester",2018,"Postcensal Population Estimate",968213
36121,"Wyoming",2018,"Postcensal Population Estimate",40023
36123,"Yates",2018,"Postcensal Population Estimate",24951
36000,"New",2017,"Postcensal Population Estimate",19589572
36001,"Albany",2017,"Postcensal Population Estimate",307717
36003,"Allegany",2017,"Postcensal Population Estimate",46639
36005,"Bronx",2017,"Postcensal Population Estimate",1440625
36007,"Broome",2017,"Postcensal Population Estimate",193100
36009,"Cattaraugus",2017,"Postcensal Population Estimate",77176
36011,"Cayuga",2017,"Postcensal Population Estimate",77457
36013,"Chautauqua",2017,"Postcensal Population Estimate",128372
36015,"Chemung",2017,"Postcensal Population Estimate",84736
36017,"Chenango",2017,"Postcensal Population Estimate",47805
36019,"Clinton",2017,"Postcensal Population Estimate",80531
36021,"Columbia",2017,"Postcensal Population Estimate",60338
36023,"Cortland",2017,"Postcensal Population Estimate",47815
36025,"Delaware",2017,"Postcensal Population Estimate",45028
36027,"Dutchess",2017,"Postcensal Population Estimate",293545
36029,"Erie",2017,"Postcensal Population Estimate",919034
36031,"Essex",2017,"Postcensal Population Estimate",37487
36033,"Franklin",2017,"Postcensal Population Estimate",50465
36035,"Fulton",2017,"Postcensal Population Estimate",53802
36037,"Genesee",2017,"Postcensal Population Estimate",57798
36039,"Greene",2017,"Postcensal Population Estimate",47442
36041,"Hamilton",2017,"Postcensal Population Estimate",4471
36043,"Herkimer",2017,"Postcensal Population Estimate",62163
36045,"Jefferson",2017,"Postcensal Population Estimate",113157
36047,"Kings",2017,"Postcensal Population Estimate",2594676
36049,"Lewis",2017,"Postcensal Population Estimate",26605
36051,"Livingston",2017,"Postcensal Population Estimate",63483
36053,"Madison",2017,"Postcensal Population Estimate",70942
36055,"Monroe",2017,"Postcensal Population Estimate",742724
36057,"Montgomery",2017,"Postcensal Population Estimate",49163
36059,"Nassau",2017,"Postcensal Population Estimate",1357293
36061,"New",2017,"Postcensal Population Estimate",1630698
36063,"Niagara",2017,"Postcensal Population Estimate",210848
36065,"Oneida",2017,"Postcensal Population Estimate",230011
36067,"Onondaga",2017,"Postcensal Population Estimate",461795
36069,"Ontario",2017,"Postcensal Population Estimate",109538
36071,"Orange",2017,"Postcensal Population Estimate",379758
36073,"Orleans",2017,"Postcensal Population Estimate",40786
36075,"Oswego",2017,"Postcensal Population Estimate",118427
36077,"Otsego",2017,"Postcensal Population Estimate",59920
36079,"Putnam",2017,"Postcensal Population Estimate",98856
36081,"Queens",2017,"Postcensal Population Estimate",2295808
36083,"Rensselaer",2017,"Postcensal Population Estimate",159200
36085,"Richmond",2017,"Postcensal Population Estimate",475671
36087,"Rockland",2017,"Postcensal Population Estimate",324622
36089,"St.",2017,"Postcensal Population Estimate",108699
36091,"Saratoga",2017,"Postcensal Population Estimate",229276
36093,"Schenectady",2017,"Postcensal Population Estimate",154710
36095,"Schoharie",2017,"Postcensal Population Estimate",31255
36097,"Schuyler",2017,"Postcensal Population Estimate",17913
36099,"Seneca",2017,"Postcensal Population Estimate",34246
36101,"Steuben",2017,"Postcensal Population Estimate",96360
36103,"Suffolk",2017,"Postcensal Population Estimate",1483358
36105,"Sullivan",2017,"Postcensal Population Estimate",74994
36107,"Tioga",2017,"Postcensal Population Estimate",48609
36109,"Tompkins",2017,"Postcensal Population Estimate",102664
36111,"Ulster",2017,"Postcensal Population Estimate",178635
36113,"Warren",2017,"Postcensal Population Estimate",64365
36115,"Washington",2017,"Postcensal Population Estimate",61559
36117,"Wayne",2017,"Postcensal Population Estimate",90429
36119,"Westchester",2017,"Postcensal Population Estimate",969689
36121,"Wyoming",2017,"Postcensal Population Estimate",40282
36123,"Yates",2017,"Postcensal Population Estimate",25002
36000,"New",2016,"Postcensal Population Estimate",19633428
36001,"Albany",2016,"Postcensal Population Estimate",307597
36003,"Allegany",2016,"Postcensal Population Estimate",47044
36005,"Bronx",2016,"Postcensal Population Estimate",1444417
36007,"Broome",2016,"Postcensal Population Estimate",194498
36009,"Cattaraugus",2016,"Postcensal Population Estimate",77658
36011,"Cayuga",2016,"Postcensal Population Estimate",77674
36013,"Chautauqua",2016,"Postcensal Population Estimate",129206
36015,"Chemung",2016,"Postcensal Population Estimate",85644
36017,"Chenango",2016,"Postcensal Population Estimate",48315
36019,"Clinton",2016,"Postcensal Population Estimate",80500
36021,"Columbia",2016,"Postcensal Population Estimate",60835
36023,"Cortland",2016,"Postcensal Population Estimate",47915
36025,"Delaware",2016,"Postcensal Population Estimate",45393
36027,"Dutchess",2016,"Postcensal Population Estimate",293029
36029,"Erie",2016,"Postcensal Population Estimate",918678
36031,"Essex",2016,"Postcensal Population Estimate",37671
36033,"Franklin",2016,"Postcensal Population Estimate",51081
36035,"Fulton",2016,"Postcensal Population Estimate",53610
